new entry "Target_DisarmingAttack_Flail"
type "SpellData"
data "SpellType" "Target"
data "Cooldown" "OncePerCombat"
using "Target_MainHandAttack"
data "TargetRadius" "MeleeMainWeaponRange"
data "SpellRoll" "Attack(AttackType.MeleeWeaponAttack)"
data "SpellSuccess" "IF(not SavingThrow(Ability.Strength, ManeuverSaveDC())):ApplyStatus(DISARM,100,0);DealDamage(1d8, Bludgeoning); ExecuteWeaponFunctors(MainHand)"
data "TargetConditions" "Character() and not Self() and HasWeaponInMainHand()"
data "Icon" "Action_DisarmingAttack_Melee"
data "DisplayName" "hb667b784ga913g4e9egb017g21ddd14e1e07"
data "Description" "hc50394c1g4c4eg42b4gbd8egd691d9512def"
data "TooltipDamageList" "DealDamage(1d8, Bludgeoning)"
data "TooltipAttackSave" "Strength"
data "TooltipOnMiss" "6ee56b25-979f-43bd-b354-84528d625efe"
data "CastSound" "Action_Cast_DisarmingAttack_Melee"
data "TargetSound" "Action_Impact_DisarmingAttack"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "5dbfc67e-a1f4-4a91-b398-4df1ad989c49,,;6f957f78-322e-465f-b314-27299a98add7,,;63c0501c-14aa-467c-8980-45ed023ab15d,,;e6af1757-da0b-4640-8ce5-ea559816d2b0,,;08e862c4-75d3-489d-bdb2-b2f95031373e,,;3ed0eebd-86d0-4902-bcea-e0b039e9ad1f,,;0b07883a-08b8-43b6-ac18-84dc9e84ff50,,;,,;,,"
data "DualWieldingSpellAnimation" "b6a6bde4-f4f3-4f10-bd8b-e642a8da4aa9,,;550c6598-8929-4071-aced-c12f5c9ad8aa,,;da4fb3e1-c9e0-4d16-ba92-aca8def437b3,,;be687d06-cb06-4fca-b977-bd2746cacc91,,;12773179-f31c-4c27-a8d5-0649df16995d,,;7bd69a21-e7f9-4c8b-aaf3-64ad999293b4,,;0b07883a-08b8-43b6-ac18-84dc9e84ff50,,;,,;,,"
data "SpellStyleGroup" "Class"
data "WeaponTypes" "Melee"
data "SpellFlags" "IsMelee;IsHarmful"
data "PrepareEffect" "e3faa4ab-3c09-456d-997a-23a48eac2b09"
data "CastEffect" "6c62be43-fdf9-4921-87eb-1ec7a97813c3"
data "TargetEffect" "b87ba2df-24f8-48b1-bf00-2da8a9f635f7"
data "Sheathing" "Melee"
